HQ/ACRO-0/12
   0.60226	  -0.04422
   0.61450	  -0.04299
   0.62681	  -0.04174
   0.63915	  -0.04043
   0.65155	  -0.03910
   0.66399	  -0.03773
   0.67645	  -0.03635
   0.68891	  -0.03496
   0.70136	  -0.03353
   0.71380	  -0.03210
   0.72625	  -0.03065
   0.73871	  -0.02921
   0.75114	  -0.02774
   0.76354	  -0.02627
   0.77589	  -0.02482
   0.78820	  -0.02335
   0.80050	  -0.02190
   0.81278	  -0.02046
   0.82505	  -0.01902
   0.83728	  -0.01758
   0.84943	  -0.01615
   0.86148	  -0.01474
   0.87341	  -0.01333
   0.88518	  -0.01196
   0.89676	  -0.01063
   0.90811	  -0.00936
   0.91921	  -0.00813
   0.93001	  -0.00697
   0.94049	  -0.00587
   0.95062	  -0.00482
   0.96033	  -0.00383
   0.96961	  -0.00291
   0.97846	  -0.00205
   0.98688	  -0.00124
   0.99488	  -0.00050
   1.00000	   0.00000
